DepartureTime,ArraivalTime,Price,Operator,NumberOfStops,Duration,Layovers,Source
2023-12-20 04:40:00,2023-12-20 15:20:00,210.0,"['Norwegian', 'Air Serbia']",2,38400,"['3h 55m layover, Stockholm Arlanda', '1h 35m layover, Belgrade Nikola Tesla']",momondo.com
2023-12-20 11:20:00,2023-12-20 19:20:00,266.0,"['Finnair', 'Pegasus Airlines']",1,28800,"['3h 10m layover, Berlin Brandenburg']",momondo.com
2023-12-20 07:05:00,2023-12-20 15:50:00,252.0,"['Finnair', 'Pegasus Airlines']",1,31500,"['4h 00m layover, Berlin Brandenburg']",momondo.com
2023-12-20 07:30:00,2023-12-20 16:30:00,297.0,"['Finnair', 'LOT']",1,32400,"['4h 35m layover, Warsaw Frederic Chopin']",momondo.com
2023-12-20 07:05:00,2023-12-20 15:05:00,279.0,"['Finnair', 'Turkish Airlines']",1,28800,"['3h 10m layover, Berlin Brandenburg']",momondo.com
2023-12-20 08:15:00,2023-12-20 16:25:00,298.0,"['Finnair', 'Pegasus Airlines']",1,29400,"['2h 00m layover, Amsterdam Schiphol']",momondo.com
2023-12-20 07:40:00,2023-12-20 15:05:00,309.0,"['Finnair', 'Turkish Airlines']",1,26700,"['2h 40m layover, Vilnius']",momondo.com
2023-12-20 06:20:00,2023-12-20 13:20:00,355.0,"['Finnair', 'Turkish Airlines']",1,25200,"['2h 00m layover, Václav Havel Prague']",momondo.com
2023-12-20 07:50:00,2023-12-20 15:20:00,341.0,"['Finnair', 'Pegasus Airlines']",1,27000,"['2h 10m layover, Munich Franz Josef Strauss']",momondo.com
2023-12-20 07:40:00,2023-12-20 15:55:00,305.0,"['Norwegian', 'Pegasus Airlines']",1,29700,"['3h 30m layover, Stockholm Arlanda']",momondo.com
2023-12-20 08:35:00,2023-12-20 15:55:00,345.0,"['Finnair', 'Pegasus Airlines']",1,26400,"['2h 30m layover, Stockholm Arlanda']",momondo.com
2023-12-20 07:45:00,2023-12-20 15:05:00,345.0,"['Finnair', 'Turkish Airlines']",1,26400,"['2h 45m layover, Riga Intl']",momondo.com
2023-12-20 05:25:00,2023-12-20 15:20:00,253.0,"['Finnair', 'Air Serbia']",2,35700,"['3h 05m layover, Stockholm Arlanda', '1h 35m layover, Belgrade Nikola Tesla']",momondo.com
2023-12-20 12:35:00,2023-12-20 21:35:00,316.0,"['Ryanair', 'Pegasus Airlines']",1,32400,"['2h 05m layover, London Stansted']",momondo.com
2023-12-20 10:05:00,2023-12-20 21:35:00,360.0,['Lufthansa'],2,41400,"['3h 40m layover, Kastrup Copenhagen', '1h 30m layover, Frankfurt am Main']",momondo.com
2023-12-20 08:00:00,2023-12-20 15:30:00,377.0,"['Finnair', 'Pegasus Airlines']",1,27000,"['1h 50m layover, Zurich']",momondo.com
